Grau;Área;Emitir;Código;Descrição
Padrões de ancoragem;Leitura;Ideias e detalhes principais;R.PK-12.1;"Leia atentamente para determinar o que um texto diz explicitamente e faça inferências lógicas a partir dele; cite evidências textuais específicas ao escrever ou falar para fundamentar as conclusões extraídas de um texto."
Padrões de ancoragem;Leitura;Ideias e detalhes principais;R.PK-12.2;"Determine as ideias centrais ou temas de um texto e analise seu desenvolvimento; resuma os detalhes e as ideias principais que os sustentam."
Padrões de ancoragem;Leitura;Ideias e detalhes principais;R.PK-12.3;Analise como e por que indivíduos, eventos e ideias se desenvolvem e interagem ao longo de um texto.
Padrões de ancoragem;Leitura;Artesanato e estrutura;R.PK-12.4;Interpretar palavras e frases conforme são usadas em um texto, incluindo a determinação de significados técnicos, conotativos e figurativos, e analisar como a escolha de palavras específicas molda o significado ou o tom.
Padrões de ancoragem;Leitura;Artesanato e estrutura;R.PK-12.5;Analise a estrutura dos textos, incluindo como frases específicas, parágrafos e trechos maiores do texto se relacionam entre si e com o todo.
Padrões de ancoragem;Leitura;Artesanato e estrutura;R.PK-12.6;Avalie como o ponto de vista ou propósito influencia o conteúdo e o estilo de um texto.
Padrões de ancoragem;Leitura;Integração de conhecimento e ideias;R.PK-12.7;"Integrar e avaliar conteúdo apresentado em diversas mídias e formatos, incluindo visual, quantitativo e oral. [Nota: Consulte ""Pesquisa para Construir e Apresentar Conhecimento"" em Escrita e ""Compreensão e Colaboração"" em Expressão Oral e Auditiva.]"
Padrões de ancoragem;Leitura;Integração de conhecimento e ideias;R.PK-12.8;Descrever e avaliar a argumentação e as afirmações específicas de um texto, incluindo a validade do raciocínio, bem como a relevância e a suficiência das evidências.
Padrões de ancoragem;Leitura;Integração de conhecimento e ideias;R.PK-12.9;Analise como dois ou mais textos abordam temas ou tópicos semelhantes, a fim de construir conhecimento ou comparar as abordagens adotadas pelos autores.
Padrões de ancoragem;Leitura;Alcance de leitura e nível de complexidade do texto;R.PK-12.10;Ler e compreender textos literários e informativos complexos de forma independente e competente.
Padrões de ancoragem;Escrita;Tipos e finalidades dos textos;W.PK-12.1;Elabore argumentos para sustentar afirmações em uma análise de tópicos ou textos substanciais, utilizando raciocínio válido e evidências relevantes e suficientes.
Padrões de ancoragem;Escrita;Tipos e finalidades dos textos;W.PK-12.2;Redija textos informativos/explicativos para examinar e transmitir ideias e informações complexas de forma clara e precisa, por meio de seleção, organização e análise de conteúdo eficazes.
Padrões de ancoragem;Escrita;Tipos e finalidades dos textos;W.PK-12.3;Escreva narrativas para desenvolver experiências ou eventos usando técnicas literárias eficazes, detalhes bem escolhidos e sequências bem estruturadas.
Padrões de ancoragem;Escrita;Produção e distribuição de obras escritas;W.PK-12.4;Produzir textos claros e coerentes, nos quais o desenvolvimento, a organização e o estilo sejam adequados à tarefa, ao propósito e ao público-alvo.
Padrões de ancoragem;Escrita;Produção e distribuição de obras escritas;W.PK-12.5;Desenvolva e aprimore a escrita conforme necessário, por meio de planejamento, revisão, edição, reescrita ou experimentação de uma nova abordagem.
Padrões de ancoragem;Escrita;Produção e distribuição de obras escritas;W.PK-12.6;Utilize a tecnologia para produzir e publicar textos, bem como para interagir e colaborar com outras pessoas.
Padrões de ancoragem;Escrita;Pesquisa para construir e apresentar conhecimento;W.PK-12.7;Realizar projetos de pesquisa, tanto de curta quanto de longa duração, com base em questões específicas, demonstrando compreensão do tema investigado.
Padrões de ancoragem;Escrita;Pesquisa para construir e apresentar conhecimento;W.PK-12.8;Ao realizar uma pesquisa, reúna informações relevantes de múltiplas fontes impressas e digitais, avalie a credibilidade e a precisão de cada fonte e integre as informações, evitando o plágio.
Padrões de ancoragem;Escrita;Pesquisa para construir e apresentar conhecimento;W.PK-12.9;Extrair evidências de textos literários ou informativos para fundamentar análises, interpretações, reflexões e pesquisas.
Padrões de ancoragem;Escrita;Intervalo de escrita;W.PK-12.10;Escreva rotineiramente por períodos prolongados (tempo para pesquisar, refletir e revisar) e por períodos mais curtos (uma única sessão ou um ou dois dias) para uma variedade de tarefas, propósitos e públicos.
