Grade;Area;Topic;Code;Description
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.1;"Identify situations when a nutrition-related decision needs to be made (e.g., when trying new foods,
choosing snacks and beverages, eating breakfast). [HPE]
"
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.2;Articulate, with adult guidance, nutrition options in common situations, and identify decisions that can be made independently (e.g., asking for healthier options) or when assistance is needed (e.g., managing a food allergy). [HPE]
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.3;Identify that food is the preferred way of obtaining nutrients (as opposed to supplements) and provides energy for the body, identify the primary contribution of each food group to the body, and provide examples of foods within food groups to support informed decision-making. [HPE]
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.4;Explain food and health-promoting eating habits in equitable terms (e.g., all people need food access, clean water is necessary, grocery stores are important to communities and their health, access, needs, and preferences vary). [HPE]
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.5;Explain benefits of health-promoting eating choices and habits (e.g., balanced eating, staying hydrated, eating fruits and vegetables, eating nutrient-rich foods, eating a variety of foods, limiting foods high in added sugar, awareness of hunger and thirst signals). 
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.6;Describe how the foods students eat may reflect the area in which they live and/or their cultural backgrounds, ways students? families use or produce food, how family meals and food traditions benefit them, different dietary needs (e.g., food allergies, dietary restrictions) and how they contribute to nutrition-related decisions. [HPE]
Pre-K-2;Nutrition and Balanced Eating [2.1.NE];Decision-making and problem-solving: Make health-promoting, informed, responsible decisions and solve problems in a variety of health-related situations. ;2.1.NE.7;Recognize that media (e.g., cartoons, characters, advertisements, product placement) can impact food-related decisions. [HPE]
Pre-K-2;Mental and Emotional Health [2.2.MH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.MH.1;"Demonstrate self-control (e.g., delay gratification, wait your turn) alone or with the support of adults in a variety of typical settings (e.g., on the playground, in the classroom, during physical education, at an assembly). [HPE; SE]"
Pre-K-2;Mental and Emotional Health [2.2.MH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.MH.2;"Define stress and demonstrate strategies for managing stress (e.g., positive self-talk, belly breathing, talking with a trusted adult, listening to calming music, play, physical activity) alone or with the support of adults. [HPE; SE]"
Pre-K-2;Mental and Emotional Health [2.2.MH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.MH.3;"Identify what it means to be responsible and list personal responsibilities. [HPE; SE]"
Pre-K-2;Mental and Emotional Health [2.2.MH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.MH.4;"Utilize simple positive self-talk for the purpose of self-motivation and behavior modification. [HPE; SE]"
Pre-K-2;Mental and Emotional Health [2.2.MH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.MH.5;"Identify simple goals for health, physical activity, academic success, and classroom behavior. [HPE; SE]"
Pre-K-2;Physical Health and Hygiene [2.2.PH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PH.1;Identify a variety of habits that can promote children?s health (e.g., brushing teeth, proper nutrition, going to the doctor, getting enough sleep, being physically active, limiting screen time, washing hands, etc.). [HPE]
Pre-K-2;Physical Health and Hygiene [2.2.PH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PH.2;"Explain how a young person can maintain or enhance the health of both their body and mind. [HPE; SE]"
Pre-K-2;Physical Health and Hygiene [2.2.PH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PH.3;Use medically accurate names for body parts, including genitals when communicating about their body and physical health. [HPE]
Pre-K-2;Physical Health and Hygiene [2.2.PH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PH.4;Demonstrate independence in health-promoting practices such as hand washing, appropriate teeth brushing motions, sneezing and coughing into elbow, engaging in physical activity, and appropriate use and disposal of tissues. [HPE]
Pre-K-2;Physical Health and Hygiene [2.2.PH];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PH.5;Set a simple goal related to physical health habits and monitor progress toward the goal with assistance from an adult. [HPE]
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.1;Apply strategies for staying safe in a variety of situations (e.g., on the playground, during physical education, around water, when using wheeled recreation, as a pedestrian, around cooking elements or fire, on the bus, when online, around weapons or in situations of gun violence) and determine when to report unsafe situations to an adult.ÿ[HPE]
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.2;Provide examples of how rules can keep children safe and identify rules to help children stay safe in various situations (e.g., related to medicines, playground safety, physical education, threats of violence, personal space, and boundaries). [HPE]
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.3;Demonstrate how to respond (e.g., yell, get away, tell an adult, seek help) and get help in a variety of emergency situations including when and how to call 9-1-1. [HE]
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.4;Identify safe adults to confide in and places to go if feeling personally threatened (e.g., someone says they will hurt or harm you). [HE]
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.5;"Demonstrate the ability to ask a trusted adult for help (including for problem-solving) in a variety of situations. [HPE; SE]"
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.6;Recognize safe, unsafe, and inappropriate touching and demonstrate how to tell a trusted adult if this happens. [HE]
Pre-K-2;Personal Safety [2.2.PS];Self-management and Goal Setting: Set goals, engage in health-promoting behaviors, and avoid risky behaviors;2.2.PS.7;Identify and practice behaviors for personal safety: say no, get away, tell a grown-up. [HE]
