Grado;Área;Tema;Código;Descripción
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 1: Educación cívica: justicia, amistad, responsabilidad y respeto;HSS.Pre-K.T1.01;Con indicaciones y apoyo, dé razones de las reglas en el aula y en el hogar.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 1: Educación cívica: justicia, amistad, responsabilidad y respeto;HSS.Pre-K.T1.02;Con indicaciones y apoyo, siga las reglas, los límites y las expectativas acordados.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 1: Educación cívica: justicia, amistad, responsabilidad y respeto;HSS.Pre-K.T1.03;Mostrar voluntad de asumir responsabilidades (por ejemplo, ser ayudante o líder).
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 1: Educación cívica: justicia, amistad, responsabilidad y respeto;HSS.Pre-K.T1.04;Con indicaciones y apoyo, haga y responda preguntas sobre literatura y textos informativos de estudios sociales leídos en voz alta, y represente o dé ejemplos de personajes que muestren justicia, amistad, amabilidad, responsabilidad y respeto mutuo.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 2: Geografía: mapas y lugares;HSS.Pre-K.T2.01;"Con indicaciones y apoyo, describa la ubicación de personas, animales, objetos y lugares, utilizando correctamente palabras y frases como arriba, abajo, encima, lejos, al lado, dentro, junto a, cerca de, encima, debajo y aparte. Por ejemplo, un estudiante describe el lugar donde vive su tío como ""lejos"" y nombra la ciudad, el pueblo, el estado o el país. Otro estudiante describe dos edificios en una fotografía como ""juntos"". Tenga en cuenta que los estándares de matemáticas para preescolar del Marco de Matemáticas de Massachusetts también piden a los estudiantes que identifiquen las posiciones relativas de los objetos en el espacio, utilizando un lenguaje apropiado."
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 2: Geografía: mapas y lugares;HSS.Pre-K.T2.02;Con indicaciones y apoyo, explique lo que puede mostrar un mapa u otro tipo de representación de un lugar.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 2: Geografía: mapas y lugares;HSS.Pre-K.T2.03;Con orientación y apoyo, utilice una combinación de dibujos, construcción con bloques u otros materiales o dictado para construir mapas y otras representaciones de lugares familiares.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 3: Historia: vivencias y recuerdos personales;HSS.Pre-K.T3.01;Con orientación y apoyo, recordar y describir eventos que sucedieron en el aula o en una historia, usando palabras y frases relacionadas con la cronología y el tiempo, incluyendo primero, siguiente, último (por ejemplo, describir algo que sucedió ayer o la semana pasada).
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 3: Historia: vivencias y recuerdos personales;HSS.Pre-K.T3.02;Con orientación y apoyo, explique cómo los conceptos de días, semanas y meses se relacionan con el paso del tiempo.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 3: Historia: vivencias y recuerdos personales;HSS.Pre-K.T3.03;Con orientación y apoyo, participe en proyectos de investigación compartidos breves para recopilar información sobre las tradiciones de personas de diversos orígenes.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 4: Economía: trabajo y comercio (compartido con jardín de infancia);HSS.Pre-K.T4.01;Con indicaciones y apoyo, describa algunas cosas que las personas hacen cuando trabajan dentro y fuera del hogar, basándose en su experiencia personal, literatura y textos informativos.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 4: Economía: trabajo y comercio (compartido con jardín de infancia);HSS.Pre-K.T4.02;Con indicaciones y apoyo, haga y responda preguntas sobre comprar, vender o intercambiar algo y explique cómo las personas toman decisiones sobre las cosas que necesitan y desean.
 PK; Construyendo una base para vivir, aprender y trabajar juntos;Tema 4: Economía: trabajo y comercio (compartido con jardín de infancia);HSS.Pre-K.T4.03;Con indicaciones y apoyo, dé ejemplos de su experiencia personal, literatura o textos informativos sobre bienes y servicios que las personas compran con el dinero que ganan.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 1: Educación cívica: ciudadanía en el aula;HSS.K.T1.01;"Comprender y seguir reglas, límites y expectativas con un mínimo de indicaciones y asistencia; con indicaciones y apoyo, hacer y responder preguntas sobre los motivos de las reglas."
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 1: Educación cívica: ciudadanía en el aula;HSS.K.T1.02;Asumir responsabilidades y cumplirlas, siendo servicial y respetuoso con los demás (por ejemplo, ofrecerse voluntariamente y llevar a cabo tareas en el aula y en casa).
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 1: Educación cívica: ciudadanía en el aula;HSS.K.T1.03;Con indicaciones y apoyo, dé ejemplos de textos literarios e informativos leídos o leídos en voz alta sobre personajes que muestran autoridad, imparcialidad, cuidado, justicia, responsabilidad o que muestran cómo se crean y se siguen las reglas.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 1: Educación cívica: ciudadanía en el aula;HSS.K.T1.04;Haga y responda preguntas y explore libros para obtener información sobre los símbolos nacionales, las canciones y los textos de los Estados Unidos: a. por qué la bandera de los Estados Unidos de América es roja, blanca y azul, y tiene estrellas y rayas. b. por qué el águila calva es el emblema nacional de los Estados Unidos. c. por qué la bandera estadounidense es el himno nacional de los Estados Unidos. d. qué significa la letra del Juramento a la Bandera. Aclaración: Los maestros deben explorar la historia y las historias que rodean a los símbolos nacionales para comprender su significado en el contexto. El conocimiento de los símbolos y las canciones debe compartirse entre los grados k y 1.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 2: Geografía: conexiones entre lugares;HSS.K.T2.01;Describe la ubicación de personas, objetos y lugares, utilizando correctamente palabras y frases como arriba, abajo, cerca, lejos, izquierda, derecha, derecho, atrás, detrás, delante, junto a, entre. Por ejemplo, un estudiante describe la ubicación de su aula como «cerca de la oficina, justo al final del pasillo, junto a la biblioteca». Cabe destacar que los estándares de kínder del Marco de Matemáticas de Massachusetts también exigen que los estudiantes describan las posiciones relativas de los objetos con un vocabulario preciso.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 2: Geografía: conexiones entre lugares;HSS.K.T2.02;Con apoyo, explique las similitudes y diferencias entre mapas y globos terráqueos.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 2: Geografía: conexiones entre lugares;HSS.K.T2.03;Identifique los elementos de una dirección física, incluido el nombre y el número de la calle, la ciudad o pueblo, el estado (Massachusetts) y el país (Estados Unidos).
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 2: Geografía: conexiones entre lugares;HSS.K.T2.04;"Con ayuda, en un mapa del estado, busque la ciudad o pueblo donde se encuentra la escuela del estudiante; en un mapa callejero de la ciudad o pueblo, busque la ubicación de la escuela del estudiante."
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 2: Geografía: conexiones entre lugares;HSS.K.T2.05;Utilizar mapas, fotografías, sus propios dibujos u otras representaciones para mostrar y explicar a otros la ubicación de lugares importantes y las relaciones entre lugares en el vecindario inmediato de la casa o la escuela del estudiante. Por ejemplo, un estudiante usa un mapa y una serie de fotografías de la escuela y sus alrededores como ayudas visuales cuando le explica a un amigo dónde se detiene el autobús escolar, dónde es seguro cruzar la calle con el guardia de cruce, dónde ingresar a la escuela y dónde encontrar los columpios o un lugar para jugar a la pelota en el patio de juegos.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 2: Geografía: conexiones entre lugares;HSS.K.T2.06;Construir mapas, dibujos y modelos que muestren características físicas de lugares familiares.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 3: Historia: tradiciones compartidas;HSS.K.T3.01;Describa cómo algunos días, llamados feriados cívicos, son especiales porque celebran eventos o personas importantes en la historia (consulte el Suplemento de recursos, Sección III, para obtener una lista de feriados cívicos estatales, nacionales e internacionales y sus historias).
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 3: Historia: tradiciones compartidas;HSS.K.T3.02;Contrastar y comparar tradiciones y celebraciones de pueblos con diversos orígenes culturales.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 3: Historia: tradiciones compartidas;HSS.K.T3.03;"Ordenar temporalmente eventos de su vida personal, observaciones del mundo natural y relatos y textos informativos leídos o en voz alta, utilizando palabras y frases relacionadas con la cronología y el tiempo, incluyendo: a. Acciones secuenciales: primero, siguiente, último; b. Cronología y tiempo: ahora, entonces, hace mucho tiempo, antes, después, mañana, tarde, noche, hoy, mañana, ayer, la semana pasada o la próxima, el mes pasado o el próximo, el año pasado o el próximo."
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 4: Economía: trabajo y comercio (compartido con preescolar); HSS.K.T4.01;Con indicaciones y apoyo, describa algunas cosas que las personas hacen cuando trabajan dentro y fuera del hogar, basándose en su experiencia personal, literatura y textos informativos.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 4: Economía: trabajo y comercio (compartido con preescolar);HSS.K.T4.02;Compra, venta e intercambio de bienes y serviciosCon indicaciones y apoyo, haga y responda preguntas sobre la compra, venta o intercambio de algo y explique cómo las personas toman decisiones sobre las cosas que necesitan y desean.
K; Muchos roles en la vida, el aprendizaje y el trabajo en conjunto;Tema 4: Economía: trabajo y comercio (compartido con preescolar);HSS.K.T4.03;Con indicaciones y apoyo, dé ejemplos de su experiencia personal, literatura o textos informativos sobre bienes y servicios que las personas compran con el dinero que ganan.
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.01;"Demostrar comprensión de los beneficios de formar parte de un grupo y explicar qué significa ser miembro de un grupo; seguir las reglas, límites, responsabilidades y expectativas del grupo, y explicar las razones de las reglas a los demás. Por ejemplo, para aclarar el concepto de membresía, los estudiantes hacen una lluvia de ideas sobre los grupos a los que pertenecen simultáneamente: por ejemplo, son miembros de una familia, un aula, una escuela, quizás un equipo deportivo, un grupo scout, un club de arte, un grupo religioso, una comunidad vecinal, un pueblo, una ciudad o un país. Junto con su profesor, elaboran una lista de algunas de las diferentes expectativas de cada grupo y buscan las similitudes entre ellas."
1; Liderazgo, Cooperación, Unidad y Diversidad;Tema 1: Educación cívica: comunidades, elecciones y liderazgo;HSS.1.T1.02;Investigar los distintos roles que desempeñan los miembros de un grupo y explicar cómo esos roles contribuyen al logro de un objetivo común.
