Grado;Área;Tema;Código;Descripción
PK;Ciencias de la Tierra y del Espacio;El lugar de la Tierra en el universo;PreK.ESS.1.1;Demostrar conocimiento de que la Luna se puede ver de día y de noche, y de sus diferentes formas aparentes a lo largo de un mes. Aclaración: No se espera que se mencionen los nombres ni la secuencia de las fases lunares.
PK;Ciencias de la Tierra y del Espacio;El lugar de la Tierra en el universo;PreK.ESS.1.2;Observe y use evidencia para describir que el Sol está en diferentes lugares del cielo durante el día.
PK;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;PreK.ESS.2.1;Plantee preguntas y participe en debates sobre cómo los diferentes tipos de entornos locales (incluido el agua) proporcionan hogares a diferentes tipos de seres vivos.
PK;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;PreK.ESS.2.2;Observar y clasificar materiales no vivos, naturales y artificiales, en el entorno local.
PK;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;PreK.ESS.2.3;Explorar y describir diferentes lugares donde se encuentra agua en el entorno local.
PK;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;PreK.ESS.2.4;Utilice instrumentos sencillos para recopilar y registrar datos sobre elementos del clima diario, incluidos el sol o las nubes, el viento, la nieve o la lluvia y las temperaturas más altas o más bajas.
PK;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;PreK.ESS.2.5;Describe cómo cambia el clima local día a día y a lo largo de las estaciones, y reconoce patrones en esos cambios. Aclaración: Las descripciones del clima pueden incluir soleado, nublado, lluvioso, cálido, ventoso y nevado.
PK;Ciencias de la Tierra y del Espacio;Los sistemas de la Tierra;PreK.ESS.2.6;Proporcione ejemplos del impacto del clima en los seres vivos. Aclaración: Establezca conexiones entre el clima y lo que visten y pueden hacer, y el clima y las necesidades de agua y refugio de las plantas y los animales.
PK;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;PreK.ESS.3.1;Participe en debates y plantee preguntas utilizando ejemplos sobre los recursos locales (incluidos el suelo y el agua) que los seres humanos utilizan para satisfacer sus necesidades.
PK;Ciencias de la Tierra y del Espacio;La Tierra y la actividad humana;PreK.ESS.3.2;Observar y discutir el impacto de las actividades de las personas en el medio ambiente local.
PK;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;PreK.LS.1.1;Compare, mediante descripciones y dibujos, las partes externas del cuerpo de animales (incluidos los humanos) y plantas, y explique las funciones de algunas de las partes observables. Aclaración: Los ejemplos pueden incluir la comparación entre humanos y caballos: los humanos tienen dos piernas y los caballos cuatro, pero ambos las usan para desplazarse.
PK;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;PreK.LS.1.2;Explique que la mayoría de los animales tienen cinco sentidos que utilizan para recopilar información sobre el mundo que los rodea.
PK;Ciencias de la vida;De las moléculas a los organismos: estructuras y procesos;PreK.LS.1.3;Utilice sus cinco sentidos en su exploración y juego para recopilar información.
PK;Ciencias de la vida;Ecosistemas: interacciones, energía y dinámica;PreK.LS.2.1;Utilice evidencia de animales y plantas para definir varias características de los seres vivos que los distinguen de los seres no vivos.
PK;Ciencias de la vida;Ecosistemas: interacciones, energía y dinámica;PreK.LS.2.2;Utilizando evidencia del entorno local, explique cómo las plantas y los animales comunes satisfacen sus necesidades en el lugar donde viven. Aclaraciones: Las necesidades básicas incluyen agua, alimento, aire, refugio y, para la mayoría de las plantas, luz. Ejemplos de evidencia incluyen ardillas que recolectan nueces para el invierno y plantas que crecen en presencia de sol y agua. El entorno local incluye el área alrededor de la escuela, el hogar o la comunidad adyacente del estudiante.
PK;Ciencias de la vida;Ecosistemas: interacciones, energía y dinámica;PreK.LS.2.3;Dé ejemplos del entorno local de cómo los animales y las plantas dependen unos de otros para satisfacer sus necesidades básicas.
PK;Ciencias de la vida;Variación de rasgos;PreK.LS.3.1;Utilice observaciones para explicar que las plantas y los animales jóvenes son similares, pero no exactamente iguales, a sus progenitores. Aclaración: Ejemplos de observaciones incluyen cachorros que se parecen, pero no son exactamente iguales, a sus progenitores.
PK;Ciencias de la vida;Variación de rasgos;PreK.LS.3.2;Utilizar observaciones para reconocer diferencias y similitudes entre ellos mismos y sus amigos.
PK;Ciencias Físicas;La materia y sus interacciones;PreK.PS.1.1;Plantear preguntas e investigar las diferencias entre líquidos y sólidos y desarrollar la conciencia de que un líquido puede convertirse en un sólido y viceversa.
PK;Ciencias Físicas;La materia y sus interacciones;PreK.PS.1.2;Investigar objetos naturales y artificiales para describirlos, compararlos, ordenarlos y clasificarlos según sus características físicas observables, sus usos y si algo se fabrica o ocurre en la naturaleza.
PK;Ciencias Físicas;La materia y sus interacciones;PreK.PS.1.3;Diferenciar entre las propiedades de un objeto y las del material del que está hecho.
PK;Ciencias Físicas;La materia y sus interacciones;PreK.PS.1.4;Reconocer mediante la investigación que los objetos físicos y los materiales pueden cambiar en diferentes circunstancias. Aclaración: Los cambios incluyen la formación o descomposición, la mezcla, la disolución y el cambio de estado.
PK;Ciencias Físicas;Movimiento y estabilidad: fuerzas e interacciones;PreK.PS.2.1;Utilizando evidencia, analice ideas sobre qué hace que algo se mueva de la manera en que lo hace y cómo se pueden controlar algunos movimientos.
PK;Ciencias Físicas;Movimiento y estabilidad: fuerzas e interacciones;PreK.PS.2.2;A través de la experiencia, desarrolle la conciencia de los factores que influyen en si las cosas se sostienen o caen. Aclaración: Algunos ejemplos de factores en el juego de construcción infantil incluyen el uso de una base amplia al construir, la consideración de la resistencia de los materiales y una distribución equilibrada del peso al construir con bloques.
PK;Ciencias Físicas;Ondas y sus aplicaciones en tecnologías de transferencia de información;PreK.PS.4.1;Investiga los sonidos que producen diferentes objetos y materiales y analiza las explicaciones sobre su causa. A través del juego y la investigación, identifica maneras de manipular diferentes objetos y materiales que producen sonido para cambiar el volumen y el tono.
PK;Ciencias Físicas;Ondas y sus aplicaciones en tecnologías de transferencia de información;PreK.PS.4.2;Conecte experiencias e investigaciones diarias para demostrar las relaciones entre el tamaño y la forma de las sombras, los objetos que crean la sombra y la fuente de luz.
K;Ciencias de la Tierra y del Espacio;Sistemas de la Tierra;K.ESS.2.1;Utilizar y compartir observaciones cuantitativas de las condiciones meteorológicas locales para describir patrones a lo largo del tiempo. Aclaraciones: Ejemplos de observaciones cuantitativas podrían incluir el número de días soleados, ventosos y lluviosos en un mes, y la temperatura relativa. Las observaciones cuantitativas deben limitarse a números enteros.
