Grade;Area;Topic;Code;Description
Anchor Standards;Reading;Key Ideas and Details;R.PK-12.1;"Read closely to determine what a text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from a text."
Anchor Standards;Reading;Key Ideas and Details;R.PK-12.2;"Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas."
Anchor Standards;Reading;Key Ideas and Details;R.PK-12.3;Analyze how and why individuals, events, and ideas develop and interact over the course of a text.
Anchor Standards;Reading;Craft and Structure;R.PK-12.4;Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.
Anchor Standards;Reading;Craft and Structure;R.PK-12.5;Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text relate to each other and the whole.
Anchor Standards;Reading;Craft and Structure;R.PK-12.6;Assess how point of view or purpose shapes the content and style of a text.
Anchor Standards;Reading;Integration of Knowledge and Ideas;R.PK-12.7;"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words. [Note: Please see ""Research to Build and Present Knowledge"" in Writing and ""Comprehension and Collaboration"" in Speaking and Listening.]"
Anchor Standards;Reading;Integration of Knowledge and Ideas;R.PK-12.8;Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.
Anchor Standards;Reading;Integration of Knowledge and Ideas;R.PK-12.9;Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.
Anchor Standards;Reading;Range of Reading and Level of Text Complexity;R.PK-12.10;Independently and proficiently read and comprehend complex literary and informational texts.
Anchor Standards;Writing;Text Types and Purposes;W.PK-12.1;Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.
Anchor Standards;Writing;Text Types and Purposes;W.PK-12.2;Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.
Anchor Standards;Writing;Text Types and Purposes;W.PK-12.3;Write narratives to develop  experiences or events using effective literary techniques, well-chosen details, and well-structured sequences.
Anchor Standards;Writing;Production and Distribution of Writing;W.PK-12.4;Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.
Anchor Standards;Writing;Production and Distribution of Writing;W.PK-12.5;Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.
Anchor Standards;Writing;Production and Distribution of Writing;W.PK-12.6;Use technology to produce and publish writing and to interact and collaborate with others.
Anchor Standards;Writing;Research to Build and Present Knowledge;W.PK-12.7;Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.
Anchor Standards;Writing;Research to Build and Present Knowledge;W.PK-12.8;When conducting research, gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.
Anchor Standards;Writing;Research to Build and Present Knowledge;W.PK-12.9;Draw evidence from literary or informational texts to support analysis, interpretation, reflection, and research.
Anchor Standards;Writing;Range of Writing;W.PK-12.10;Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.
Anchor Standards;Speaking and Listening;Comprehension and Collaboration;SL.PK-12.1;Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others? ideas and expressing their own clearly and persuasively.
