"dia","grado","asignatura","area","codigo","descricao"
1,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
2,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
3,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
4,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
5,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
6,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
7,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
8,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
9,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
10,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
11,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
12,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
13,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
14,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
15,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
16,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
17,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
18,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
19,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
20,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
21,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
22,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
23,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
24,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
25,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
26,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
27,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
28,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
29,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
30,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
31,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
32,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
33,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
34,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
35,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
36,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
37,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
38,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
39,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
40,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
41,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
42,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
43,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
44,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
45,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
46,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
47,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
48,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
49,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
50,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
51,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
52,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
53,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
54,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
55,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
56,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
57,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
58,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
59,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
60,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
61,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
62,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
63,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
64,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
65,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
66,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
67,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
68,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
69,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
70,"K","Bíblia","Alfabetização Bíblica","K.BL.1.e","Posso memorizar os versículos bíblicos principais (Gênesis 1:1, Salmos 23:1, Romanos 3:23)."
71,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
72,"K","Bíblia","Discernimento Espiritual","K.SD.2.a","Posso explicar que Deus está sempre comigo mesmo quando as coisas são difíceis ou coisas ruins acontecem (ex. José)."
73,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
74,"K","Bíblia","Discernimento Espiritual","K.SD.2.b","Posso demonstrar como cantar louvores a Deus é uma maneira de adorá-Lo (ex. Ação de Graças)."
75,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
76,"K","Bíblia","Discernimento Espiritual","K.SD.2.c","Posso descrever as maneiras como Deus me tornou especial (ex. Jesus e as crianças)."
77,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
78,"K","Bíblia","Cosmovisão Bíblica","K.BW.3.a","Sei que a Bíblia é a Palavra de Deus (ex. João e Jesus cumprem a profecia)."
79,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
80,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.a","Posso dar exemplos de como mostrar respeito aos outros."
81,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
82,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.b","Posso nomear maneiras de obedecer à autoridade em casa e na escola."
83,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
84,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.c","Posso dar exemplos de maneiras pelas quais mostro bondade aos outros."
85,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
86,"K","Bíblia","Aplicação à Vida e Serviço","K.LAS.4.d","Posso dar exemplos de maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
87,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
88,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.i","Posso sequenciar os eventos principais da Criação."
89,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
90,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.ii","Posso sequenciar os eventos principais de Abraão (a promessa de Deus do nascimento de Isaque)."
91,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
92,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iii","Posso sequenciar os eventos principais de Davi e Golias."
93,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
94,"K","Bíblia","Alfabetização Bíblica","K.BL.1.a.iv","Posso sequenciar os eventos principais de Jonas."
95,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
96,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.i","Posso explicar o que podemos aprender com a história de Mefibosete."
97,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
98,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.ii","Posso explicar o que podemos aprender com a história de Davi e Jônatas."
99,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
100,"K","Bíblia","Alfabetização Bíblica","K.BL.1.b.iii","Posso explicar o que podemos aprender com a história de Ester."
101,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
102,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.i","Posso recontar a história do nascimento de Jesus usando palavras, objetos ou figuras."
103,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
104,"K","Bíblia","Alfabetização Bíblica","K.BL.1.c.ii","Posso recontar a história da morte e ressurreição de Jesus usando palavras, objetos ou figuras."
105,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
106,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.i","Posso ilustrar a ideia principal da parábola do Bom Samaritano."
107,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
108,"K","Bíblia","Alfabetização Bíblica","K.BL.1.d.ii","Posso ilustrar a ideia principal da parábola da Ovelha Perdida."
