Grade;Area;Topic;Code;Description
PK;Earth and Space Sciences;Earth's Place in the Universe;PreK.ESS.1.1;Demonstrate awareness that the Moon can be seen in the daytime and at night, and of the different apparent shapes of the Moon over a month. Clarification Statement: The names of moon phases or sequencing of moon phases is not expected.
PK;Earth and Space Sciences;Earth's Place in the Universe;PreK.ESS.1.2;Observe and use evidence to describe that the Sun is in different places in the sky during the day.
PK;Earth and Space Sciences;Earth's Systems;PreK.ESS.2.1;Raise questions and engage in discussions about how different types of local environments (including water) provide homes for different kinds of living things.
PK;Earth and Space Sciences;Earth's Systems;PreK.ESS.2.2;Observe and classify non-living materials, natural and human made, in the local environment.
PK;Earth and Space Sciences;Earth's Systems;PreK.ESS.2.3;Explore and describe different places water is found in the local environment.
PK;Earth and Space Sciences;Earth's Systems;PreK.ESS.2.4;Use simple instruments to collect and record data on elements of daily weather, including sun or clouds, wind, snow or rain, and higher or lower temperature.
PK;Earth and Space Sciences;Earth's Systems;PreK.ESS.2.5;Describe how local weather changes from day to day and over the seasons and recognize patterns in those changes. Clarification Statement: Descriptions of the weather can include sunny, cloudy, rainy, warm, windy, and snowy.
PK;Earth and Space Sciences;Earth's Systems;PreK.ESS.2.6;Provide examples of the impact of weather on living things. Clarification Statement: Make connections between the weather and what they wear and can do and the weather and the needs of plants and animals for water and shelter.
PK;Earth and Space Sciences;Earth and Human Activity;PreK.ESS.3.1;Engage in discussion and raise questions using examples about local resources (including soil and water) humans use to meet their needs.
PK;Earth and Space Sciences;Earth and Human Activity;PreK.ESS.3.2;Observe and discuss the impact of people?s activities on the local environment.
PK;Life Science;From Molecules to Organisms: Structures and Processes;PreK.LS.1.1;Compare, using descriptions and drawings, the external body parts of animals (including humans) and plants and explain functions of some of the observable body parts. Clarification Statement: Examples can include comparison of humans and horses: humans have two legs and horses four, but both use legs to move.
PK;Life Science;From Molecules to Organisms: Structures and Processes;PreK.LS.1.2;Explain that most animals have five senses they use to gather information about the world around them.
PK;Life Science;From Molecules to Organisms: Structures and Processes;PreK.LS.1.3;Use their five senses in their exploration and play to gather information.
PK;Life Science;Ecosystems: Interactions, Energy, and Dynamics;PreK.LS.2.1;Use evidence from animals and plants to define several characteristics of living things that distinguish them from non-living things.
PK;Life Science;Ecosystems: Interactions, Energy, and Dynamics;PreK.LS.2.2;Using evidence from the local environment, explain how familiar plants and animals meet their needs where they live. Clarification Statements: Basic needs include water, food, air, shelter, and, for most plants, light. Examples of evidence can include squirrels gathering nuts for the winter and plants growing in the presence of sun and water. The local environment includes the area around the student?s school, home, or adjacent community.
PK;Life Science;Ecosystems: Interactions, Energy, and Dynamics;PreK.LS.2.3;Give examples from the local environment of how animals and plants are dependent on one another to meet their basic needs.
PK;Life Science;Variation of Traits;PreK.LS.3.1;Use observations to explain that young plants and animals are like but not exactly like their parents. Clarification Statement: Examples of observations include puppies that look similar but not exactly the same as their parents.
PK;Life Science;Variation of Traits;PreK.LS.3.2;Use observations to recognize differences and similarities among themselves and their friends.
PK;Physical Science;Matter and Its Interactions;PreK.PS.1.1;Raise questions and investigate the differences between liquids and solids and develop awareness that a liquid can become a solid and vice versa.
PK;Physical Science;Matter and Its Interactions;PreK.PS.1.2;Investigate natural and human-made objects to describe, compare, sort, and classify objects based on observable physical characteristics, uses, and whether something is manufactured or occurs in nature.
PK;Physical Science;Matter and Its Interactions;PreK.PS.1.3;Differentiate between the properties of an object and those of the material of which it is made.
PK;Physical Science;Matter and Its Interactions;PreK.PS.1.4;Recognize through investigation that physical objects and materials can change under different circumstances. Clarification Statement: Changes include building up or breaking apart, mixing, dissolving, and changing state.
PK;Physical Science;Motion and Stability: Forces and Interactions;PreK.PS.2.1;Using evidence, discuss ideas about what is making something move the way it does and how some movements can be controlled.
PK;Physical Science;Motion and Stability: Forces and Interactions;PreK.PS.2.2;Through experience, develop awareness of factors that influence whether things stand or fall. Clarification Statement: Examples of factors in children?s construction play include using a broad foundation when building, considering the strength of materials, and using balanced weight distribution in a block building.
PK;Physical Science;Waves and Their Applications in Technologies for Information Transfer;PreK.PS.4.1;Investigate sounds made by different objects and materials and discuss explanations about what is causing the sounds. Through play and investigations, identify ways to manipulate different objects and materials that make sound to change volume and pitch
PK;Physical Science;Waves and Their Applications in Technologies for Information Transfer;PreK.PS.4.2;Connect daily experiences and investigations to demonstrate the relationships between the size and shape of shadows, the objects creating the shadow, and the light source.
K;Earth and Space Sciences;Earth?s Systems;K.ESS.2.1;Use and share quantitative observations of local weather conditions to describe patterns over time. Clarification Statements: Examples of quantitative observations could include numbers of sunny, windy, and rainy days in a month, and relative temperature. Quantitative observations should be limited to whole numbers
K;Earth and Space Sciences;Earth?s Systems;K.ESS.2.2;Construct an argument supported by evidence for how plants and animals (including humans) can change the environment. Clarification Statement: Examples of plants and animals changing their environment could include a squirrel digging holes in the ground and tree roots that break concrete.
K;Earth and Space Sciences;Earth and Human Activity;K.ESS.3.2;Obtain and use information about weather forecasting to prepare for, and respond to, different types of local weather.
K;Earth and Space Sciences;Earth and Human Activity;K.ESS.3.3;Communicate solutions to reduce the amount of natural resources an individual uses. Clarification Statement: Examples of solutions could include reusing paper to reduce the number of trees cut down and recycling cans and bottles to reduce the amount of plastic or metal used.
K;Life Science;From Molecules to Organisms: Structures and Processes;K.LS.1.1;Observe and communicate that animals (including humans) and plants need food, water, and air to survive. Animals get food from plants or other animals. Plants make their own food and need light to live and grow.
K;Life Science;From Molecules to Organisms: Structures and Processes;K.LS.1.2;Recognize that all plants and animals grow and change over time.
K;Physical Science;Matter and Its Interactions;K.PS.1.1;"Investigate and communicate the idea that different kinds of materials can be solid or liquid depending on temperature.
Clarification Statements: Materials chosen must exhibit solid and liquid states in a reasonable temperature range for kindergarten students (e.g., 0?80›F), such as water, crayons, or glue sticks; Only a qualitative description of temperature, such as hot, warm, and cool, is expected."
K;Physical Science;Motion and Stability: Forces and Interactions;K.PS.2.1;"Compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.
Clarification Statements: Examples of pushes or pulls could include a string attached to an object being pulled, a person pushing an object, a person stopping a rolling ball, and two objects colliding and pushing on each other; Comparisons should be on different relative strengths or different directions, not both at the same time;Non-contact pushes or pulls such as those produced by magnets are not expected."
K;Physical Science;Energy;K.PS.3.1;"Make observations to determine that sunlight warms materials on Earth?s surface.Clarification Statements: Examples of materials on Earth?s surface could include sand, soil, rocks, and water; Measures of temperature should be limited to relative measures such as warmer/cooler."
K;Physical Science;Energy;K.PS.3.2;Use tools and materials to design and build a model of a structure that will reduce the warming effect of sunlight on an area.
1;Earth and Space Sciences;Earth's Place in the Universe;1.ESS.1.1;Use observations of the Sun, Moon, and stars to describe that each appears to rise in one part of the sky, appears to move across the sky, and appears to set.
1;Earth and Space Sciences;Earth's Place in the Universe;1.ESS.1.2;Analyze provided data to identify relationships among seasonal patterns of change, including relative sunrise and sunset time changes, seasonal temperature and rainfall or snowfall patterns, and seasonal changes to the environment. Clarification Statement: Examples of seasonal changes to the environment can include foliage changes, bird migration, and differences in amount of insect activity.
1;Life Science;From Molecules to Organisms: Structures and Processes;1.LS.1.1;Use evidence to explain that (a) different animals use their body parts and senses in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water, and air, and (b) plants have roots, stems, leaves, flowers, and fruits that are used to take in water, air, and other nutrients, and produce food for the plant.Clarification Statement: Descriptions are not expected to include mechanisms such as the process of photosynthesis.
