Grau;Área;Emitir;Código;Descrição
PK;Ciências da Terra e do Espaço;O lugar da Terra no universo;Pré-escola ESS.1.1;Demonstrar conhecimento de que a Lua pode ser vista de dia e de noite, e de suas diferentes formas aparentes ao longo do mês. Observação: Não se espera que o aluno conheça os nomes e a sequência das fases lunares.
PK;Ciências da Terra e do Espaço;O lugar da Terra no universo;Pré-escola ESS.1.2;Observe e utilize evidências para descrever como o Sol está em diferentes posições no céu durante o dia.
PK;Ciências da Terra e do Espaço;Sistemas da Terra;Pré-escola ESS.2.1;Faça perguntas e participe de discussões sobre como diferentes tipos de ambientes locais (incluindo a água) fornecem habitat para diferentes tipos de seres vivos.
PK;Ciências da Terra e do Espaço;Sistemas da Terra;Pré-escola ESS.2.2;Observar e classificar materiais não vivos, naturais e artificiais, no ambiente local.
PK;Ciências da Terra e do Espaço;Sistemas da Terra;Pré-escola ESS.2.3;Explore e descreva diferentes locais onde a água é encontrada no ambiente local.
PK;Ciências da Terra e do Espaço;Sistemas da Terra;Pré-escola ESS.2.4;Utilize instrumentos simples para coletar e registrar dados sobre elementos do clima diário, incluindo sol ou nuvens, vento, neve ou chuva, e as temperaturas mais altas ou mais baixas.
PK;Ciências da Terra e do Espaço;Sistemas da Terra;Pré-escola ESS.2.5;Descreva como o clima local muda de um dia para o outro e ao longo das estações do ano, e reconheça os padrões nessas mudanças. Observação: As descrições do clima podem incluir ensolarado, nublado, chuvoso, quente, ventoso e com neve.
PK;Ciências da Terra e do Espaço;Sistemas da Terra;Pré-escola ESS.2.6;Forneça exemplos do impacto do clima nos seres vivos. Esclarecimento: Estabeleça conexões entre o clima e o que eles vestem e podem fazer, e entre o clima e as necessidades de água e abrigo de plantas e animais.
PK;Ciências da Terra e do Espaço;A Terra e a atividade humana;Pré-escola ESS.3.1;Participe de discussões e faça perguntas usando exemplos sobre recursos locais (incluindo solo e água) que os seres humanos utilizam para atender às suas necessidades.
PK;Ciências da Terra e do Espaço;A Terra e a atividade humana;Pré-escola ESS.3.2;Observe e discuta o impacto das atividades das pessoas no meio ambiente local.
PK;Ciências da vida;Das moléculas aos organismos: estruturas e processos;Pré-escola.LS.1.1;Compare, usando descrições e desenhos, as partes externas do corpo de animais (incluindo humanos) e plantas, e explique as funções de algumas das partes observáveis. Esclarecimento: Os exemplos podem incluir a comparação entre humanos e cavalos: humanos têm duas pernas e cavalos têm quatro, mas ambos as usam para se locomover.
PK;Ciências da vida;Das moléculas aos organismos: estruturas e processos;Pré-escola.LS.1.2;Explique que a maioria dos animais possui cinco sentidos que utilizam para obter informações sobre o mundo ao seu redor.
PK;Ciências da vida;Das moléculas aos organismos: estruturas e processos;Pré-escola.LS.1.3;Use seus cinco sentidos na exploração e na brincadeira para coletar informações.
PK;Ciências da vida;Ecossistemas: interações, energia e dinâmica;Pré-escola.LS.2.1;Utilize evidências de animais e plantas para definir várias características dos seres vivos que os distinguem dos seres não vivos.
PK;Ciências da vida;Ecossistemas: interações, energia e dinâmica;Pré-escola.LS.2.2;Utilizando evidências do ambiente local, explique como plantas e animais comuns satisfazem suas necessidades no local onde vivem. Esclarecimentos: As necessidades básicas incluem água, alimento, ar, abrigo e, para a maioria das plantas, luz. Exemplos de evidências incluem esquilos coletando nozes para o inverno e plantas crescendo na presença de sol e água. O ambiente local inclui a área ao redor da escola, da casa ou da comunidade adjacente do aluno.
PK;Ciências da vida;Ecossistemas: interações, energia e dinâmica;Pré-escola.LS.2.3;Dê exemplos do ambiente local de como animais e plantas dependem uns dos outros para satisfazer suas necessidades básicas.
PK;Ciências da vida;Variação de características;Pré-escola.LS.3.1;Use observações para explicar que plantas e animais jovens são semelhantes aos seus pais, mas não exatamente iguais. Esclarecimento: Exemplos de observações incluem filhotes de cachorro que se parecem com seus pais, mas não são exatamente iguais a eles.
